|job_href|job_title|employer|city|salary|schedule|conditions|responsibilities|education|experience|requirements|placement|job_views_value|job_simple_dis_sec
0|https://joblab.ru/vac10285279.html|Программист 1С (удаленно)|BOGACHO|Москва|до 150 000 руб.|Полный рабочий день|BOGACHO - это российский производитель, который с 1994 года производит и реализует мебель и уникальные предметы интерьера по всей России. На данный момент компания имеет 5 производств, собственную дизайн-студию, уникальные технологии изготовления изделий. В связи с активным развитием мы открываем вакансию: Программист 1С., Мы предлагаем:, Защищенность, стабильность, уверенность в завтрашнем дне, Достойную оплату труда 2 раза в месяц без задержек, Удобный график работы: 5/2 или гибридный, Оформление в соответствии с ТК РФ (все соц. гарантии), Cкидки на продукцию, Работу в российской компании № 1 на рынке эксклюзивной мебели и предметов интерьера.|Выполнение разработки по техническому заданию (1С: ERP), Настройка и администрирование систем на базе 1С, Разработка, доработка и сопровождение функционала, написание отчетов, Разработка конфигураций под задачи внутреннего заказчика, обновление нетиповых конфигураций, Участие в команде на проектах по автоматизации на базе продукта 1С: ERP, Адаптация программного продукта под нужды заказчика, Реализация обменов и интеграций 1С с другими информационными системами, Составление инструкций и технологической документации к создаваемому программному продукту, Поддержка и консультация пользователей.|Среднее специальное|От 2 лет|Мы по достоинству оценим:, Знание стандартов разработки 1C, Знание типовых конфигураций 1С (ERP 2, УТ 11, КА 2), Опыт работы в производственных компаниях (желательно), Знание типовых механизмов платформы 1С, Опыт отладки и оптимизации программных решений, Опыт настройки интеграций с маркет-плейсами, Понимание клиент-серверной архитектуры, Готовность развиваться, изучать предметные области, постоянно повышать уровень компетенций, Как преимущество: опыт использования git, наличие сертификатов 1С.|18.10.2023 08:12:00|82|
1|https://joblab.ru/vac10385129.html|Ведущий программист СОБОП|"АО ""МОСТРАНСАВТО"""|Люберцы|от 55 000 руб.|Сменный график|Трудоустройство согласно ТК РФ, Своевременная выплата заработной платы, Оплачиваемый отпуск, больничный, Бесплатный проезд на маршрутах компании., График работы 2/2 с 20.00. до 08.00.|Обслуживание, поддержка СОБОП, Учет и ремонт стационарного оборудования СОБОП., Демонтаж стационарного оборудования СОБОП., Обеспечение бесперебойного функционирования системы СОБОП.|Высшее|От 1 года|Образование высшее-техническое|18.10.2023 08:10:00|508|
2|https://joblab.ru/vac10566972.html|Инженер-электроник|"АО ""МОСТРАНСАВТО"""|Серпухов|от 31 038 руб.|Сменный график|Полный рабочий день, Ежегодный отпуск 28 календарных дней, Бесплатный проезд на городском транспорте, Оплата детского садика, Оплата путевок в детские лагеря|Обеспечение технической эксплуатации и работы оборудования ИТП транспортных средств (система навигации, видеорегистраторы, автоинформаторы, навигаторы), Принимать меры по своевременному и качественному выполнению ремонтных работ электронного оборудования транспортных средств, Своевременное обновление программного обеспечения|Среднее специальное|От 1 года|Опыт работы от 1 года, Среднее профессиональное образование в области ИТ, Знание режимов работы и правил технической эксплуатации и опыт ремонта электронного оборудования, Знание формализованных языков программирования, Уверенный пользователь ПК|18.10.2023 08:10:00|218|
3|https://joblab.ru/vac10679079.html|Инженер-электроник|"АО ""МОСТРАНСАВТО"""|Балашиха|от 35 000 руб.|Сменный график|Для своих сотрудников мы предлагаем:, стабильную работу, выплату заработной платы без задержек 2 раза в месяц, достойные условия труда и социальные гарантии, компенсацию стоимости путевок в детские оздоровительные лагеря, социальные выплаты, приуроченные к различным личным датам (рождение ребенка и т.п.), сертификация специалистов за счет компании, бесплатный проезд на маршрутах МОСТРАНСАВТО.|Выявление и устранение неисправностей в электросхеме автобуса связанной с системой видеонаблюдения, навигации, и информационными табло., Обновлять программное обеспечение терминалов, обновлять стоп-листы., Снимать архивное видео с автобусов оборудованных системой СНДВИ и Еврофокус., Отражать все действия в системном журнале и заводить заявки.|Среднее специальное|Не требуется|Образование высшее или среднее специальное -программы подготовки специалистов среднего звена.|18.10.2023 08:10:00|218|
4|https://joblab.ru/vac11057368.html|Ведущий специалист по СОБОП|"АО ""МОСТРАНСАВТО"""|Балашиха|от 50 000 руб.|Сменный график|"Для своих сотрудников мы предлагаем:, официальную заработную плату с ежегодной индексацией, достойные условия труда и социальные гарантии, оплату медицинских осмотров, больничных листов, льготные путевки в оздоровительные лагеря для детей работников, социальные выплаты к жизненным событиям (рождение ребенка, юбилей и т.п.), бесплатный проезд на маршрутах АО ""МОСТРАНСАВТО""."|"Участие в работах по отладке, опытной эксплуатации и внедрению комплексов программных и информационно - технических средств. , Проведение анализа причин отказов и нарушений в работе систем и используемых программных продуктов. , Организация бесперебойной работы информационно - технологических систем (""АРМ - СУИ""), а также стационарного оборудования ""СОБОП"" и мобильных терминалов. , Ведение учета оборудования, своевременное заведение заявок на неисправности оборудования: СОБОП, АПК, СНДВИ, оборудования видеонаблюдения."|Высшее|От 1 года|Образование высшее техническое, опыт работы в сфере ИТ от года.|18.10.2023 08:10:00|64|
5|https://joblab.ru/vac6966584.html|Клиент - менеджер в Отдел корпоративных продаж #5657|"ООО ""Технический центр Баланс-Информ"""|Раменское|от 80 000 руб.|Полный рабочий день|"В связи с расширением Отдела корпоративных продаж Компания ищет Специалиста на должность Клиент-менеджера с перспективой роста до Руководителя направления., Уровень заработной платы после испытательного срока 30000р.+% от продаж (без ""потолка""), График работы с 9 до 18 (5/2)‚ полный рабочий день‚ совместительство невозможно, Оформление по ТК РФ, Испытательный срок до 3 месяцев. На испытательном сроке выплачивается окладная часть, Гарантируем интересную работу перспективной сфере информационной безопасности и цифровизации, наставничество, дружный коллектив, уютный офис и приятную атмосферу, В качестве приятного бонуса - активная корпоративная жизнь."|"Проведение переговоров с Заказчиками на входящих/исходящих звонках, Работа с теплой базой и дебиторской задолженностью на период адаптации. В дальнейшем предполагаются личные продажи и работа с ""холодной"" базой, ее формирование, поддержание, развитие, выполнение плана продаж, Подготовка и отправка проектов документов для организации закупки (коммерческие предложения, проекты контрактов и т.д. Шаблоны предоставляются), Формирование и расширение клиентской базы (база, скрипты предоставляется), Работа в CRM системе., Взаимодействие с другими отделами Компании."|Высшее|От 2 лет|Главное требование - нацеленность на результат, Опыт работы в продажах от 1-го года, Уверенный пользователь ПК, Опыт ведения переговоров (в том числе телефонных), Оптимистичный, позитивный взгляд на жизнь, Внимательность, пунктуальность, активность, Без вредных привычек, Опыт работы с ИТ / ИБ / бюджетной сферой, как преимущество.|18.10.2023 08:07:00|551|
6|https://joblab.ru/vac9640756.html|Координатор отдела продаж #8925|"ООО ""Технический центр Баланс-Информ"""|Раменское|35 000 — 50 000 руб.|Полный рабочий день|В связи с расширением компания ищет сотрудника на должность координатор продаж., Вся работа автоматизирована (веб-сервисы)., Уровень зарплаты после испытательного срока 25 000 + %., Средний ежемесячный доход от 35 000 р., Работа в офисе (г. Раменское, Чугунова 15А), График работы с 9 до 18 (5/2)‚ полный рабочий день‚ совместительство невозможно., Оформление по ТК РФ., Испытательный срок 2 месяца., Гарантируем интересную работу, дружный коллектив и приятную атмосферу., В качестве бонуса - активная нерабочая жизнь|Совершение исходящих звонков по предоставленной базе потенциальных клиентов, Уточнение справочной информации по организациям, согласно разработанному списку вопросов., Согласование с клиентом даты и времени выдачи поставки с указанием необходимости предоставления перечня документов., Проверка документов на корректность., Заведение документов в систему электронного документооборота., Ведение отчетности и работа с CRM системой., Подготовка документов для клиентов (первичные бухгалтерские документы, договоры)|Высшее|От 1 года|Навыки делового общения и переписки, Навыки исходящих телефонных звонков., Уверенный пользователь ПК, Организованность, обучаемость, внимательность, коммуникативные навыки, умение быстро -переключаться с задачи на задачу, клиентоориентированность., Грамотная речь|18.10.2023 08:07:00|66|
7|https://joblab.ru/vac10577214.html|Руководитель проектов в Отдел корпоративных продаж #5658|"ООО ""Технический центр Баланс-Информ"""|Раменское|от 120 000 руб.|Полный рабочий день|"В связи с расширением Отдела корпоративных продаж Компания ищет Специалиста на должность Руководитель проектов с перспективой роста до Руководителя направления., Уровень заработной платы после испытательного срока 35000р.+% от продаж (без ""потолка""), График работы с 9 до 18 (5/2)‚ полный рабочий день‚ совместительство невозможно, Оформление по ТК РФ, Испытательный срок до 3 месяцев. На испытательном сроке выплачивается окладная часть, Гарантируем интересную работу в перспективной сфере информационной безопасности и цифровизации, наставничество, дружный коллектив, уютный офис и приятную атмосферу, З/П от 120 000 руб. при достижении уровня выполнения плана продаж., В качестве приятного бонуса - активная корпоративная жизнь."|"Инициация и ведение проектов по продвижению услуг Компании, Проведение переговоров с Заказчиками на входящих/исходящих звонках и на выезде, Работа с теплой базой и дебиторской задолженностью на период адаптации. В дальнейшем предполагаются личные продажи и работа с ""холодной"" базой, ее формирование, поддержание, развитие, выполнение плана продаж, Подготовка и отправка проектов документов для организации закупки (коммерческие предложения, проекты контрактов и т.д. Шаблоны предоставляются), Формирование и расширение клиентской базы (база, скрипты предоставляется), Взаимодействие с другими отделами Компании, Работа в CRM системе."|Высшее|От 2 лет|Главное требование - нацеленность на результат, Опыт работы в продажах от 1-го года, Уверенный пользователь ПК, Опыт ведения переговоров (телефонных и в формате личной встречи с ЛПР), Оптимистичный, позитивный взгляд на жизнь, Внимательность, пунктуальность, активность, Без вредных привычек, Опыт работы с ИТ / ИБ / бюджетной сферой, как преимущество.|18.10.2023 08:07:00|244|
8|https://joblab.ru/vac10668067.html|Руководитель отдела продаж #2332|"ООО ""Технический центр Баланс-Информ"""|Раменское|от 100 000 руб.|Полный рабочий день|Работа в динамично развивающейся компании, оформление по ТК РФ, график работы пн-пт с 9.00 до 18.00|Руководство отделом продаж, включая удаленные офисы:, контроль работы сотрудников, контроль выполнения ключевых показателей, подбор персонала, обучение менеджеров техникам продаж, взаимодействию с клиентами, решение конфликтных ситуаций при необходимости, работа с ключевыми клиентами, отчетность по результатам работы, участие в организации корпоративных мероприятий, повышение эффективности работы отдела, посещение удаленных офисов с целью контроля работы (Москва и Московская область), Стратегическое планирование:, расчет планов на период (месяц, квартал, год), разработка и оптимизация системы мотивации сотрудников, взаимодействие и достижение договоренностей с поставщиками и подрядчиками, участие в семинарах и встречах, поиск новых каналов увеличения клиентской базы|Высшее|От 3 лет|Отличные знания CRM и опыт работы в биллинговых системах., Высшее образование., Опыт работы руководителем отдела/группы продаж в секторе b2b не менее двух лет (в том числе и с удаленным отделом продаж)., Владение инструментами продаж и развития разных каналов сбыта., Развитые переговорные навыки, умение вести переговоры, аргументированно убеждать собеседника., Умение создавать/внедрять/контролировать операционные показатели и показатели конверсии, выполнение бизнес-процессов, повышающих эффективность компании и сотрудников., умение работать с командой (мотивация и развитие сотрудников) и выстраивать эффективную коммуникацию., Опыт планирования (стратегического, тактического), нацеленность на результат, высокие аналитические способности.|18.10.2023 08:07:00|222|
9|https://joblab.ru/vac10705178.html|Менеджер отдела продаж #4948 (отдела продлений)|"ООО ""Технический центр Баланс-Информ"""|Раменское|По договоренности|Полный рабочий день|работа в динамично развивающейся компании, оформление по ТК РФ, ЗП оклад 30 000р на период испытательного срока, после - 25 000 + премия, Продолжительность испытательного срока - 2 месяца, график работы пн-пт с 9.00 до 18.00|Главное условие - желание умело развиваться в сфере продаж., Совершение исходящих звонков по базе потенциальных клиентов, Работа с существующей клиентской базой, Проведение переговоров и презентаций программных продуктов по телефону и при встречах с клиентами в офисе, Продажа программного обеспечения для отправки отчетности в контролирующие органы, электронные сервисы для бизнеса (продукты СКБ Контур), Подготовка документов для клиентов (первичные бухгалтерские документы, договоры), Формирование и расширение клиентской базы (база предоставляется), Ведение отчетности, работа в биллинговой и CRM системах|Высшее|От 1 года|Грамотная устная и письменная речь, Уверенный пользователь ПК, Умение работать в команде, Нацеленность на результат, Высокая обучаемость и стремление узнавать новое|18.10.2023 08:07:00|137|
10|https://joblab.ru/vac10805212.html|Специалист технической поддержки (1 линия) #8927|"ООО ""Технический центр Баланс-Информ"""|Раменское|от 60 000 руб.|Полный рабочий день|Оформление по ТК РФ, Белая заработная плата: фиксированный оклад + премия, График работы: понедельник-пятница (с 09:00 по 18:00), Возможность профессионального и карьерного роста, Комфортабельный офис и дружный коллектив|Первичный прозвон клиентов, Прием, обработка, первичная диагностика и решение обращений в службу технической поддержки компании по телефону, Выполнение/отработка заявок согласно инструкциям, Установка/настройка программного обеспечения|Среднее специальное|Не требуется|Уверенный пользователь ПК, Грамотная письменная и устная речь, Желание работать на результат, Обучаемость и желание развиваться|18.10.2023 08:07:00|178|
11|https://joblab.ru/vac10955761.html|Системный администратор|"ООО ""Технический центр Баланс-Информ"""|Раменское|от 60 000 руб.|Полный рабочий день|Оформление по ТК РФ, Белая заработная плата: фиксированный оклад + премия, График работы: понедельник-пятница (с 09:00 до 18:00) сб, вс выходные, Возможность профессионального и карьерного роста, Комфортабельный офис и дружный коллектив|Администрирование 1C, Администрирование внутренних информационных систем - Notion, Google Workspace, Рассылка информации сотрудникам и клиентам при помощи электронной почты, WhatsApp, Обслуживание программного обеспечения, IP телефонии, Техническое сопровождение Вебинаров, Видеоконференций, Техническое сопровождение при работе на портале с государственными закупками и прочими информационными системами, использующими электронно-цифровую подпись, Актуализация сведений на сайтах компании и информационных площадках (Яндекс карты, ВК), Обучение новых сотрудников в использовании программных продуктов применяемых в компании, Закупка компьютерной и офисной техники, периферийного оборудования, серверных систем и программного обеспечения, заказ и замена расходных материалов, Настройка оборудования (Маршрутизаторы, принтеры, ПК), Администрирование системы СКУД (запись карт)|Высшее|От 2 лет|Практический опыт администрирования криптопровайдеров, Практический опыт администрирования 1C, Исполнительность, ответственность, быстрая обучаемость., Среднее или высшее техническое образование, Хорошее знание современного компьютерного железа, диагностика неисправностей, замена комплектующих, Навыки подключения и настройки новых рабочих мест. Навыки технической поддержки пользователей|18.10.2023 08:07:00|97|
12|https://joblab.ru/vac10970067.html|Front-End Разработчик|"ООО ""Технический центр Баланс-Информ"""|Раменское|от 60 000 руб.|Полный рабочий день|Полный рабочий день., Оформление по ТК РФ, Белая заработная плата: фиксированный оклад + премия, График работы: понедельник-пятница (с 09:00 до 18:00), Возможность профессионального и карьерного роста, Комфортабельный офис и дружный коллектив|Развивать продукт, реализовывать новые модули/функции., Реализовывать компоненты интерфейса., Писать понятный код и комментарии., Покрывать компоненты тестами., Оценивать трудоемкость задач и соблюдать сроки.|Высшее|От 1 года|Уверенное знание JavaScript (ES6)., Уверенное знание TypeScript., Уверенное знание и опыт работы с React., Понимание работы Git/GitFlow., Знание HTML5, CSS3 и опыт верстки., Понимание клиент-серверной архитектуры., Знание основ работы протокола Websocket, Знание основ работы протокола WebRTC, Будет плюсом:, Понимание принципов работы Redux., Понимание принципов работы React Query., Опыт работы с ., Опыт работы с Next JS, Опыт работы с MongoDB и Mongoose.., Знание LESS/SASS., Знание основ БЭМ-методологии., Опыт написания автотестов., Желание развиваться и внедрять новые технологии.|18.10.2023 08:07:00|47|
13|https://joblab.ru/vac10287138.html|Программист 1С|"ООО ""ЮниТрейд"" (Via Ferrata)"|Щелково|до 150 000 руб.|Полный рабочий день|"Оформление в соответствии с ТК РФ, Отпуск 28 календарных дней, Корпоративные обеды - компенсация 2/3 стоимости обедов работодателем, Социально направленная акция - ""За здоровый образ жизни"" - 10% от оклада дополнительно в случае, если сотрудник не курит (после исп. срока), Система квартально-годового премирования, Обучение и повышение квалификации за счет компании, Корпоративный транспорт по маршруту г. Фрязино-Щелково-Новый Городок- Медвежьи-Озера- технопарк ""Никифорово"", Компания расположена в Щелковском районе, Медвежьи озера, деревня Никифорово, ул. Соборная, вл. 22, Рассматриваются кандидаты и с удаленной формой работы."|"Доработка конфигураций 1С под бизнес-процессы компании (по согласованным заявкам), Стандартный функционал: написание внешних обработок, отчетов, документов, Обновление типовых и настроенных конфигураций 1С, Интеграция с существующими корпоративными системами (с использованием COM/XML/Web-сервисы/ftp), Поддержка системы ""Первая форма"" - система для управления бизнес-процессами, Поддержка и консультирование пользователей, написание инструкций, Работа с неформализованными запросами пользователей (держателями бизнес процессов)."|Среднее специальное|От 1 года|"Опыт работы 1-3 года, Знание типового функционала основных конфигураций 1С: УПП, БП, ЗУП, ERP, Знание клиент-серверной архитектуры 1С, платформы 1С 8.2, 8.3, Опыт работы с регламентными заданиями, Готовность изучать новое. В частности - система для управления бизнес-процессами ""Первая форма""., Внимательность, ответственность, склонность к анализу данных, Умение адекватно оценивать сроки решения задачи и укладываться в них, Знание и умение работать с УФ, Способность быстро находить решения нестандартных проблем, Базовые знания бухгалтерского учета."|18.10.2023 08:07:00|487|
14|https://joblab.ru/vac10669194.html|Cистемный администратор.|"АО ""Богаевский карьер"""|Тучково|По договоренности|Полный рабочий день|Место работы - деревня Орешки Рузского района., Полный рабочий день. , Работа системным администратором в отделе, состоящем из двух человек.|Основные обязанности: , администрирование Windows Server (DC AD GPO DFS RDP), настройка регламентных заданий и резервного копирования на серверах 1С : Предприятие (Microsoft SQLServer), администрирование Centos (iptables DNS DHCP Open VPN VLAN), настройка коммутаторов D-Link (VLAN), обслуживание и монтаж CKC, поддержка пользователей (до 60 р.м), Приветствуется:, настройка роутеров Mikrotik, администрирование системы видеонаблюдения Trassir монтаж и обслуживание камер Hikvision Aktivekam Trassir, обслуживание шлагбаумов Came и турникетов Ростов-Дон, настройка и обслуживание оборудования UBIQUITU Rocket и NanoStation.|Высшее|От 3 лет|Гражданство РФ . , Опыт разработки сложных отчетов., Умение работать в команде.|18.10.2023 08:04:00|197|
15|https://joblab.ru/vac10769658.html|Системный администратор.|"АО ""Богаевский карьер"""|Звенигород|По договоренности|Полный рабочий день|Место работы - деревня Орешки Рузского района., Полный рабочий день. , Работа системным администратором в отделе, состоящем из двух человек.|Основные обязанности: , администрирование Windows Server (DC AD GPO DFS RDP), настройка регламентных заданий и резервного копирования на серверах 1С : Предприятие (Microsoft SQLServer), администрирование Centos (iptables DNS DHCP Open VPN VLAN), настройка коммутаторов D-Link (VLAN), обслуживание и монтаж CKC, поддержка пользователей (до 60 р.м), Приветствуется:, настройка роутеров Mikrotik, администрирование системы видеонаблюдения Trassir монтаж и обслуживание камер Hikvision Aktivekam Trassir, обслуживание шлагбаумов Came и турникетов Ростов-Дон, настройка и обслуживание оборудования UBIQUITU Rocket и NanoStation.|Высшее|От 3 лет|Гражданство РФ . , Опыт разработки сложных отчетов., Умение работать в команде.|18.10.2023 08:04:00|182|
16|https://joblab.ru/vac10806298.html|Системный администратор|"АО ""Богаевский карьер"""|Руза|По договоренности|Полный рабочий день|Место работы - деревня Орешки Рузского района., Полный рабочий день. , Работа системным администратором в отделе, состоящем из двух человек.|Основные обязанности: , администрирование Windows Server (DC AD GPO DFS RDP), настройка регламентных заданий и резервного копирования на серверах 1С : Предприятие (Microsoft SQLServer), администрирование Centos (iptables DNS DHCP Open VPN VLAN), настройка коммутаторов D-Link (VLAN), обслуживание и монтаж CKC, поддержка пользователей (до 60 р.м), Приветствуется:, настройка роутеров Mikrotik, администрирование системы видеонаблюдения Trassir монтаж и обслуживание камер Hikvision Aktivekam Trassir, обслуживание шлагбаумов Came и турникетов Ростов-Дон, настройка и обслуживание оборудования UBIQUITU Rocket и NanoStation.|Высшее|От 3 лет|Гражданство РФ . , Опыт разработки сложных отчетов., Умение работать в команде.|18.10.2023 08:04:00|170|
17|https://joblab.ru/vac10849182.html|Системный администратор (эникей)|"ООО ""Завод Строительных Материалов и Конструкций"""|Сергиев Посад|от 50 000 руб.|Полный рабочий день|Официальное трудоустройство. Комфортные условия труда.|Поддержка и сопровождение ИТ- инфраструктуры офиса, Инсталляция, настройка и администрирование пользовательского, системного и СПО, обслуживание оргтехники и периферийных устройств, Оперативное реагирование и разрешение инцидентов, техническая поддержка и консультирование пользователей, Обучение пользователей, Администрирование и поддержка серверной инфраструктуры|Среднее специальное|От 1 года|Профильное образование. Рассмотрим кандидатов без опыта работы.|18.10.2023 08:02:00|171|
18|https://joblab.ru/vac4063387.html|Инженер-системный программист|"АО ""75 арсенал"""|Серпухов|По договоренности|Полный рабочий день|Согласно ТК РФ.|Программирование в среде 1С:Предприятие 8.|Высшее|От 2 лет|Знание типовых конфигураций ЗУП 8.3, ЗУП 3, БП 3, умение работать с ними. Знание основ бухгалтерского учета. Опыт написания внешних отчетов, обработок и расширений.|18.10.2023 08:01:00|180|
19|https://joblab.ru/vac10379029.html|Помощник системного администратора|"ООО ""ПК ""Окна Столицы"""|Сергиев Посад|По договоренности|Полный рабочий день|Возможность развития вместе с крупной производственной компанией., Решение интересных задач., Официальное оформление в соответствии с ТК РФ., График работы 5/2 с 8:00 до 17:00 или с 9:00 до 18:00., Возможности личностного роста и развития., Корпоративная связь.|Обслуживание и ремонт сети, компьютеров., Организация новых рабочих мест., Установка и настройка почтовых клиентов Outlook 2010 (Почтовые и шлюзовые сервера Exchange)., Поддержка работоспособности ЛВС учреждения и ее расширение., Диагностика неполадок средств вычислительной техники, сетевого оборудования и орг.техники, с последующим устранением проблем в их работоспособности.|Среднее специальное|Не требуется|"Готовы полностью обучить с ""0"", главное желание развиваться в IT направлении., Ответственное отношение к поставленным задачам., Желательно профильное образование."|18.10.2023 08:00:00|12|
20|https://joblab.ru/vac10351838.html|Специалист по защите информации|"АО ""НИТИ им. П.И. Снегирева"""|Балашиха|от 70 000 руб.|Полный рабочий день||Выполнение мероприятий по обеспечению безопасности информации в автоматизированных системах, обрабатывающих информацию ограниченного доступа, Администрирование безопасности автоматизированных систем, обрабатывающих информацию ограниченного доступа., Администрирование средств технической защиты информации., Разработка документации по информационной безопасности в соответствии с требованиями действующего законодательства., Разработка документации по эксплуатации системы защиты информации автоматизированных систем., Организация и контроль выполнения мероприятий по исполнению требований органов государственной власти в области информационной безопасности., Устранение неисправностей в работе системы защиты информации автоматизированных систем., Устранение и расследование инцидентов по информационной безопасности.|Высшее|От 1 года|Высшее образование в области информационной безопасности., Наличие допуска к государственной тайне по 2 форме.|18.10.2023 07:59:00|797|
